;source;target;value
0;Rick;Morty;1201
1;Morty;Rick;792
2;Morty;Jessica;32
3;Jessica;Rick;56
4;Rick;Jessica;47
5;Jessica;Morty;33
6;Jerry;Summer;333
7;Summer;Beth;243
8;Beth;Summer;274
9;Summer;Jerry;375
10;Jerry;Beth;773
11;Beth;Rick;467
12;Rick;Jerry;849
13;Beth;Jerry;857
14;Summer;Rick;731
15;Jerry;Rick;872
16;Rick;Beth;519
17;Jerry;Goldenfold;13
18;Goldenfold;Morty;28
19;Jessica;Goldenfold;27
20;Morty;Goldenfold;30
21;Goldenfold;Jessica;19
22;Goldenfold;Frank;5
23;Frank;Morty;8
24;Morty;Frank;9
25;Frank;Rick;15
26;Rick;Frank;5
27;Morty;Summer;89
28;Summer;Frank;21
29;Frank;Summer;20
30;Beth;Davin;16
31;Davin;Jerry;17
32;Jerry;Tom;10
33;Tom;Beth;21
34;Beth;Tom;15
35;Tom;Rick;3
36;Jerry;Davin;15
37;Davin;Beth;5
38;Beth;Morty;61
39;Morty;Jerry;112
40;Morty;Principal;14
41;Principal;Rick;4
42;Principal;Morty;15
43;Morty;Beth;41
44;Beth;Principal;20
45;Jerry;Principal;19
46;Frank;Beth;5
47;Summer;Principal;4
48;Rick;Glenn;14
49;Glenn;Rick;5
50;Principal;Jerry;15
51;Jerry;Morty;61
52;Jerry;Frank;2
53;Jerry;Ruben;15
54;Ruben;Rick;16
55;Ruben;Jerry;5
56;Leonard;Jerry;13
57;Jerry;Joyce;17
58;Joyce;Jerry;19
59;Jerry;Jacob;37
60;Jacob;Beth;10
61;Summer;Morty;59
62;Morty;Jacob;5
63;Jacob;Jerry;46
64;Jerry;Leonard;2
65;Leonard;Jacob;16
66;Joyce;Beth;2
67;Beth;Joyce;6
68;Joyce;Leonard;8
69;Jacob;Rick;9
70;Rick;Leonard;5
71;Rick;Ruben;32
72;Ruben;Morty;11
73;Ruben;Beth;4
74;Morty;Ruben;6
75;Rick;Poncho;4
76;Poncho;Roger;16
77;Roger;Annie;10
78;Annie;Rick;42
